Year,Month,TotalPrice,MonthIndex,sin_month,cos_month
2009,12,686654.16,0,-2.4492935982947064e-16,1.0
2010,1,557319.062,1,0.49999999999999994,0.8660254037844387
2010,2,506371.066,2,0.8660254037844386,0.5000000000000001
2010,3,699608.991,3,1.0,6.123233995736766e-17
2010,4,594609.192,4,0.8660254037844387,-0.4999999999999998
2010,5,599985.79,5,0.49999999999999994,-0.8660254037844387
2010,6,639066.58,6,1.2246467991473532e-16,-1.0
2010,7,591636.74,7,-0.4999999999999997,-0.8660254037844388
2010,8,604242.65,8,-0.8660254037844385,-0.5000000000000004
2010,9,831615.001,9,-1.0,-1.8369701987210297e-16
2010,10,1036680.0,10,-0.8660254037844386,0.5000000000000001
2010,11,1172336.042,11,-0.5000000000000004,0.8660254037844384
2010,12,884591.89,12,-2.4492935982947064e-16,1.0
2011,1,569445.04,13,0.49999999999999994,0.8660254037844387
2011,2,447137.35,14,0.8660254037844386,0.5000000000000001
2011,3,595500.76,15,1.0,6.123233995736766e-17
2011,4,469200.361,16,0.8660254037844387,-0.4999999999999998
2011,5,678594.56,17,0.49999999999999994,-0.8660254037844387
2011,6,661213.69,18,1.2246467991473532e-16,-1.0
2011,7,600091.011,19,-0.4999999999999997,-0.8660254037844388
2011,8,645343.9,20,-0.8660254037844385,-0.5000000000000004
2011,9,952838.382,21,-1.0,-1.8369701987210297e-16
2011,10,1039318.79,22,-0.8660254037844386,0.5000000000000001
2011,11,1161817.3800000001,23,-0.5000000000000004,0.8660254037844384
